regiao;estado;data;casosNovos;casosAcumulados;obitosNovos;obitosAcumulados
Norte;RO;2020-03-20;1.0;1;0.0;0
Norte;RO;2020-03-21;0.0;1;0.0;0
Norte;RO;2020-03-22;2.0;3;0.0;0
Norte;RO;2020-03-23;0.0;3;0.0;0
Norte;RO;2020-03-24;0.0;3;0.0;0
Norte;RO;2020-03-25;2.0;5;0.0;0
Norte;RO;2020-03-26;0.0;5;0.0;0
Norte;RO;2020-03-27;1.0;6;0.0;0
Norte;RO;2020-03-28;6.0;12;0.0;0
Norte;RO;2020-03-29;0.0;12;0.0;0
Norte;RO;2020-03-30;0.0;12;0.0;0
Norte;RO;2020-03-31;4.0;16;2.0;2
Norte;RO;2020-04-01;2.0;18;0.0;2
Norte;RO;2020-04-02;2.0;20;0.0;2
Norte;RO;2020-04-03;0.0;20;0.0;2
Norte;RO;2020-04-04;2.0;22;0.0;2
Norte;RO;2020-04-05;2.0;24;0.0;2
Norte;RO;2020-04-06;4.0;28;0.0;2
Norte;RO;2020-04-07;8.0;36;0.0;2
Norte;RO;2020-04-08;8.0;44;0.0;2
Norte;RO;2020-04-09;12.0;56;2.0;4
Norte;RO;2020-04-10;8.0;64;0.0;4
Norte;RO;2020-04-11;2.0;66;0.0;4
Norte;RO;2020-04-12;4.0;70;0.0;4
Norte;RO;2020-04-13;14.0;84;0.0;4
Norte;RO;2020-04-14;44.0;128;0.0;4
Norte;RO;2020-04-15;10.0;138;0.0;4
Norte;RO;2020-04-16;14.0;152;2.0;6
Norte;RO;2020-04-17;32.0;184;0.0;6
Norte;RO;2020-04-18;36.0;220;0.0;6
Norte;RO;2020-04-19;36.0;256;2.0;8
Norte;RO;2020-04-20;64.0;320;0.0;8
Norte;RO;2020-04-21;78.0;398;0.0;8
Norte;RO;2020-04-22;48.0;446;2.0;10
Norte;RO;2020-04-23;54.0;500;0.0;10
Norte;RO;2020-04-24;80.0;580;0.0;10
Norte;RO;2020-04-25;76.0;656;4.0;14
Norte;RO;2020-04-26;72.0;728;6.0;20
Norte;RO;2020-04-27;58.0;786;0.0;20
Norte;RO;2020-04-28;40.0;826;2.0;22
Norte;RO;2020-04-29;40.0;866;8.0;30
Norte;RO;2020-04-30;138.0;1004;2.0;32
Norte;RO;2020-05-01;166.0;1170;4.0;36
Norte;RO;2020-05-02;136.0;1306;10.0;46
Norte;RO;2020-05-03;104.0;1410;2.0;48
Norte;RO;2020-05-04;102.0;1512;2.0;50
Norte;RO;2020-05-05;210.0;1722;8.0;58
Norte;RO;2020-05-06;164.0;1886;8.0;66
Norte;RO;2020-05-07;310.0;2196;8.0;74
Norte;RO;2020-05-08;248.0;2444;4.0;78
Norte;RO;2020-05-09;82.0;2526;4.0;82
Norte;RO;2020-05-10;78.0;2604;4.0;86
Norte;RO;2020-05-11;188.0;2792;8.0;94
Norte;RO;2020-05-12;128.0;2920;6.0;100
Norte;RO;2020-05-13;304.0;3224;0.0;100
Norte;RO;2020-05-14;148.0;3372;12.0;112
Norte;RO;2020-05-15;206.0;3578;12.0;124
Norte;RO;2020-05-16;260.0;3838;14.0;138
Norte;RO;2020-05-17;88.0;3926;10.0;148
Norte;RO;2020-05-18;160.0;4086;6.0;154
Norte;RO;2020-05-19;428.0;4514;20.0;174
Norte;RO;2020-05-20;484.0;4998;6.0;180
Norte;RO;2020-05-21;320.0;5318;22.0;202
Norte;RO;2020-05-22;230.0;5548;10.0;212
Norte;RO;2020-05-23;670.0;6218;18.0;230
Norte;RO;2020-05-24;184.0;6402;11.0;241
Norte;RO;2020-05-25;134.0;6536;1.0;242
Norte;RO;2020-05-26;450.0;6986;24.0;266
Norte;AC;2020-03-19;3.0;3;0.0;0
Norte;AC;2020-03-20;4.0;7;0.0;0
Norte;AC;2020-03-21;2.0;9;0.0;0
Norte;AC;2020-03-22;2.0;11;0.0;0
Norte;AC;2020-03-23;0.0;11;0.0;0
Norte;AC;2020-03-24;6.0;17;0.0;0
Norte;AC;2020-03-25;6.0;23;0.0;0
Norte;AC;2020-03-26;1.0;24;0.0;0
Norte;AC;2020-03-27;1.0;25;0.0;0
Norte;AC;2020-03-28;25.0;50;0.0;0
Norte;AC;2020-03-29;18.0;68;0.0;0
Norte;AC;2020-03-30;16.0;84;0.0;0
Norte;AC;2020-03-31;0.0;84;0.0;0
Norte;AC;2020-04-01;2.0;86;0.0;0
Norte;AC;2020-04-02;0.0;86;0.0;0
Norte;AC;2020-04-03;6.0;92;0.0;0
Norte;AC;2020-04-04;0.0;92;0.0;0
Norte;AC;2020-04-05;4.0;96;0.0;0
Norte;AC;2020-04-06;4.0;100;0.0;0
Norte;AC;2020-04-07;0.0;100;2.0;2
Norte;AC;2020-04-08;8.0;108;2.0;4
Norte;AC;2020-04-09;16.0;124;0.0;4
Norte;AC;2020-04-10;16.0;140;0.0;4
Norte;AC;2020-04-11;4.0;144;0.0;4
Norte;AC;2020-04-12;10.0;154;0.0;4
Norte;AC;2020-04-13;26.0;180;2.0;6
Norte;AC;2020-04-14;18.0;198;0.0;6
Norte;AC;2020-04-15;4.0;202;0.0;6
Norte;AC;2020-04-16;18.0;220;4.0;10
Norte;AC;2020-04-17;50.0;270;0.0;10
